1 0 1 CCCGG..BBB..AA..F...IIF.E.DDHHE.....
2 1 1 CCC.GG.BBB..AA..F...IIF.E.DDHHE..... G99
2 1 1 CCCGG.BBB...AA..F...IIF.E.DDHHE..... B99
2 1 1 CCCGG...BBB.AA..F...IIF.E.DDHHE..... B99
2 1 1 CCCGG....BBBAA..F...IIF.E.DDHHE..... B98
2 1 1 CCCGG..BBB...AA.F...IIF.E.DDHHE..... A99
2 1 1 CCCGG..BBB....AAF...IIF.E.DDHHE..... A98
2 1 1 CCCGG..BBBF.AA..F...II..E.DDHHE..... F99
2 1 1 CCCGG..BBB..AA..F..II.F.E.DDHHE..... I99
2 1 1 CCCGG..BBB..AA..F.II..F.E.DDHHE..... I98
2 1 1 CCCGG..BBB..AA..F.E.IIF.E.DDHH...... E99
2 1 1 CCCGG..BBB..AA..F...IIF.EDD.HHE..... D99
3 2 1 .CCCGG.BBB..AA..F...IIF.E.DDHHE..... C99 G99
3 2 1 CCC.GGBBB...AA..F...IIF.E.DDHHE..... G99 B99
3 2 1 CCC.GG..BBB.AA..F...IIF.E.DDHHE..... G99 B99
3 2 1 CCC.GG...BBBAA..F...IIF.E.DDHHE..... G99 B98
3 2 1 CCC.GG.BBB...AA.F...IIF.E.DDHHE..... G99 A99
3 2 1 CCC.GG.BBB....AAF...IIF.E.DDHHE..... G99 A98
3 2 1 CCC.GG.BBBF.AA..F...II..E.DDHHE..... G99 F99
3 2 1 CCC.GG.BBB..AA..F..II.F.E.DDHHE..... G99 I99
3 2 1 CCC.GG.BBB..AA..F.II..F.E.DDHHE..... G99 I98
3 2 1 CCC.GG.BBB..AA..F.E.IIF.E.DDHH...... G99 E99
3 2 1 CCC.GG.BBB..AA..F...IIF.EDD.HHE..... G99 D99
3 2 1 CCCGG.BBB....AA.F...IIF.E.DDHHE..... B99 A99
3 2 1 CCCGG.BBB.....AAF...IIF.E.DDHHE..... B99 A98
3 2 1 CCCGG.BBB.F.AA..F...II..E.DDHHE..... B99 F99
3 2 1 CCCGG.BBB...AA..F..II.F.E.DDHHE..... B99 I99
3 2 1 CCCGG.BBB...AA..F.II..F.E.DDHHE..... B99 I98
3 2 1 CCCGG.BBB...AA..F.E.IIF.E.DDHH...... B99 E99
3 2 1 CCCGG.BBB...AA..F...IIF.EDD.HHE..... B99 D99
3 2 1 CCCGG...BBB..AA.F...IIF.E.DDHHE..... B99 A99
3 2 1 CCCGG...BBB...AAF...IIF.E.DDHHE..... B99 A98
3 2 1 CCCGG...BBB.AA..F..II.F.E.DDHHE..... B99 I99
3 2 1 CCCGG...BBB.AA..F.II..F.E.DDHHE..... B99 I98
3 2 1 CCCGG...BBB.AA..F.E.IIF.E.DDHH...... B99 E99
3 2 1 CCCGG...BBB.AA..F...IIF.EDD.HHE..... B99 D99
3 2 1 CCCGG....BBB.AA.F...IIF.E.DDHHE..... B98 A99
3 2 1 CCCGG....BBB..AAF...IIF.E.DDHHE..... B98 A98
3 2 1 CCCGG....BBBAA..F..II.F.E.DDHHE..... B98 I99
3 2 1 CCCGG....BBBAA..F.II..F.E.DDHHE..... B98 I98
3 2 1 CCCGG....BBBAA..F.E.IIF.E.DDHH...... B98 E99
3 2 1 CCCGG....BBBAA..F...IIF.EDD.HHE..... B98 D99
3 2 1 CCCGG..BBBF..AA.F...II..E.DDHHE..... A99 F99
3 2 1 CCCGG..BBB...AA.F..II.F.E.DDHHE..... A99 I99
3 2 1 CCCGG..BBB...AA.F.II..F.E.DDHHE..... A99 I98
3 2 1 CCCGG..BBB...AA.F.E.IIF.E.DDHH...... A99 E99
3 2 1 CCCGG..BBB..EAA.F.E.IIF...DDHH...... A99 E98
3 2 1 CCCGG.EBBB..EAA.F...IIF...DDHH...... A99 E97
3 2 1 CCCGG..BBB...AA.F...IIF.EDD.HHE..... A99 D99
3 2 1 CCCGG..BBBF...AAF...II..E.DDHHE..... A98 F99
3 2 1 CCCGG..BBB....AAF..II.F.E.DDHHE..... A98 I99
3 2 1 CCCGG..BBB....AAF.II..F.E.DDHHE..... A98 I98
3 2 1 CCCGG..BBB....AAF.E.IIF.E.DDHH...... A98 E99
3 2 1 CCCGG..BBB..E.AAF.E.IIF...DDHH...... A98 E98
3 2 1 CCCGG.EBBB..E.AAF...IIF...DDHH...... A98 E97
3 2 1 CCCGG..BBB....AAF...IIF.EDD.HHE..... A98 D99
3 2 1 CCCGG..BBBF.AA..F..II...E.DDHHE..... F99 I99
3 2 1 CCCGG..BBBF.AA..F.II....E.DDHHE..... F99 I98
3 2 1 CCCGG..BBBF.AA..F....II.E.DDHHE..... F99 I99
3 2 1 CCCGG..BBBF.AA..F.....IIE.DDHHE..... F99 I98
3 2 1 CCCGG..BBBF.AA..F.E.II..E.DDHH...... F99 E99
3 2 1 CCCGG..BBBF.AA..F...II..EDD.HHE..... F99 D99
3 2 1 CCCGG..BBB..AA..F.EII.F.E.DDHH...... I99 E99
3 2 1 CCCGG..BBB..AA..F..II.F.EDD.HHE..... I99 D99
3 2 1 CCCGG..BBB..AA..F.II..F.EDD.HHE..... I98 D99
3 2 1 CCCGG..BBB..AA..F.E.IIF.EDD.HH...... E99 D99
3 2 1 CCCGG..BBB..AA..F...IIF.EDDHH.E..... D99 H99
4 3 1 .CCCGGBBB...AA..F...IIF.E.DDHHE..... C99 G99 B99
4 3 1 .CCCGG..BBB.AA..F...IIF.E.DDHHE..... C99 G99 B99
4 3 1 .CCCGG...BBBAA..F...IIF.E.DDHHE..... C99 G99 B98
4 3 1 .CCCGG.BBB...AA.F...IIF.E.DDHHE..... C99 G99 A99
4 3 1 .CCCGG.BBB....AAF...IIF.E.DDHHE..... C99 G99 A98
4 3 1 .CCCGG.BBBF.AA..F...II..E.DDHHE..... C99 G99 F99
4 3 1 .CCCGG.BBB..AA..F..II.F.E.DDHHE..... C99 G99 I99
4 3 1 .CCCGG.BBB..AA..F.II..F.E.DDHHE..... C99 G99 I98
4 3 1 .CCCGG.BBB..AA..F.E.IIF.E.DDHH...... C99 G99 E99
4 3 1 .CCCGG.BBB..AA..F...IIF.EDD.HHE..... C99 G99 D99
4 3 1 CCC.GGBBB....AA.F...IIF.E.DDHHE..... G99 B99 A99
4 3 1 CCC.GGBBB.....AAF...IIF.E.DDHHE..... G99 B99 A98
4 3 1 CCC.GGBBB.F.AA..F...II..E.DDHHE..... G99 B99 F99
4 3 1 CCC.GGBBB...AA..F..II.F.E.DDHHE..... G99 B99 I99
4 3 1 CCC.GGBBB...AA..F.II..F.E.DDHHE..... G99 B99 I98
4 3 1 CCC.GGBBB...AA..F.E.IIF.E.DDHH...... G99 B99 E99
4 3 1 CCC.GGBBB...AA..F...IIF.EDD.HHE..... G99 B99 D99
4 3 1 CCC.GG..BBB..AA.F...IIF.E.DDHHE..... G99 B99 A99
4 3 1 CCC.GG..BBB...AAF...IIF.E.DDHHE..... G99 B99 A98
4 3 1 CCC.GG..BBB.AA..F..II.F.E.DDHHE..... G99 B99 I99
4 3 1 CCC.GG..BBB.AA..F.II..F.E.DDHHE..... G99 B99 I98
4 3 1 CCC.GG..BBB.AA..F.E.IIF.E.DDHH...... G99 B99 E99
4 3 1 CCC.GG..BBB.AA..F...IIF.EDD.HHE..... G99 B99 D99
4 3 1 CCC.GG...BBB.AA.F...IIF.E.DDHHE..... G99 B98 A99
4 3 1 CCC.GG...BBB..AAF...IIF.E.DDHHE..... G99 B98 A98
4 3 1 CCC.GG...BBBAA..F..II.F.E.DDHHE..... G99 B98 I99
4 3 1 CCC.GG...BBBAA..F.II..F.E.DDHHE..... G99 B98 I98
4 3 1 CCC.GG...BBBAA..F.E.IIF.E.DDHH...... G99 B98 E99
4 3 1 CCC.GG...BBBAA..F...IIF.EDD.HHE..... G99 B98 D99
4 3 1 CCC.GG.BBBF..AA.F...II..E.DDHHE..... G99 A99 F99
4 3 1 CCC.GG.BBB...AA.F..II.F.E.DDHHE..... G99 A99 I99
4 3 1 CCC.GG.BBB...AA.F.II..F.E.DDHHE..... G99 A99 I98
4 3 1 CCC.GG.BBB...AA.F.E.IIF.E.DDHH...... G99 A99 E99
4 3 1 CCC.GG.BBB..EAA.F.E.IIF...DDHH...... G99 A99 E98
4 3 1 CCC.GGEBBB..EAA.F...IIF...DDHH...... G99 A99 E97
4 3 1 CCC.GG.BBB...AA.F...IIF.EDD.HHE..... G99 A99 D99
4 3 1 CCC.GG.BBBF...AAF...II..E.DDHHE..... G99 A98 F99
4 3 1 CCC.GG.BBB....AAF..II.F.E.DDHHE..... G99 A98 I99
4 3 1 CCC.GG.BBB....AAF.II..F.E.DDHHE..... G99 A98 I98
4 3 1 CCC.GG.BBB....AAF.E.IIF.E.DDHH...... G99 A98 E99
4 3 1 CCC.GG.BBB..E.AAF.E.IIF...DDHH...... G99 A98 E98
4 3 1 CCC.GGEBBB..E.AAF...IIF...DDHH...... G99 A98 E97
4 3 1 CCC.GG.BBB....AAF...IIF.EDD.HHE..... G99 A98 D99
4 3 1 CCC.GG.BBBF.AA..F..II...E.DDHHE..... G99 F99 I99
4 3 1 CCC.GG.BBBF.AA..F.II....E.DDHHE..... G99 F99 I98
4 3 1 CCC.GG.BBBF.AA..F....II.E.DDHHE..... G99 F99 I99
4 3 1 CCC.GG.BBBF.AA..F.....IIE.DDHHE..... G99 F99 I98
4 3 1 CCC.GG.BBBF.AA..F.E.II..E.DDHH...... G99 F99 E99
4 3 1 CCC.GG.BBBF.AA..F...II..EDD.HHE..... G99 F99 D99
4 3 1 CCC.GG.BBB..AA..F.EII.F.E.DDHH...... G99 I99 E99
4 3 1 CCC.GG.BBB..AA..F..II.F.EDD.HHE..... G99 I99 D99
4 3 1 CCC.GG.BBB..AA..F.II..F.EDD.HHE..... G99 I98 D99
4 3 1 CCC.GG.BBB..AA..F.E.IIF.EDD.HH...... G99 E99 D99
4 3 1 CCC.GG.BBB..AA..F...IIF.EDDHH.E..... G99 D99 H99
4 3 1 CCCGG.BBB.F..AA.F...II..E.DDHHE..... B99 A99 F99
4 3 1 CCCGG.BBB....AA.F..II.F.E.DDHHE..... B99 A99 I99
4 3 1 CCCGG.BBB....AA.F.II..F.E.DDHHE..... B99 A99 I98
4 3 1 CCCGG.BBB....AA.F.E.IIF.E.DDHH...... B99 A99 E99
4 3 1 CCCGG.BBB...EAA.F.E.IIF...DDHH...... B99 A99 E98
4 3 1 CCCGG.BBB....AA.F...IIF.EDD.HHE..... B99 A99 D99
