1 0 1 .EEGGGDD..I.AA..I.H.FFF.H.C.BB..C...
1 1 1 EE.GGGDD..I.AA..I.H.FFF.H.C.BB..C... E99
1 1 1 .EEGGG.DD.I.AA..I.H.FFF.H.C.BB..C... D99
1 1 1 .EEGGG..DDI.AA..I.H.FFF.H.C.BB..C... D98
1 1 1 .EEGGGDD..I..AA.I.H.FFF.H.C.BB..C... A99
1 1 1 .EEGGGDD..I...AAI.H.FFF.H.C.BB..C... A98
1 1 1 .EEGGGDD..I.AA..I...FFF.H.C.BBH.C... H99
1 1 1 .EEGGGDD..I.AA..I.HFFF..H.C.BB..C... F99
1 1 1 .EEGGGDD..I.AA..I.H..FFFH.C.BB..C... F99
1 1 1 .EEGGGDD..I.AA..I.H.FFF.H.CBB...C... B99
1 2 1 EEGGG.DD..I.AA..I.H.FFF.H.C.BB..C... E99 G99
1 2 1 EE.GGG.DD.I.AA..I.H.FFF.H.C.BB..C... E99 D99
1 2 1 EE.GGG..DDI.AA..I.H.FFF.H.C.BB..C... E99 D98
1 2 1 EE.GGGDD..I..AA.I.H.FFF.H.C.BB..C... E99 A99
1 2 1 EE.GGGDD..I...AAI.H.FFF.H.C.BB..C... E99 A98
1 2 1 EE.GGGDD..I.AA..I...FFF.H.C.BBH.C... E99 H99
1 2 1 EE.GGGDD..I.AA..I.HFFF..H.C.BB..C... E99 F99
1 2 1 EE.GGGDD..I.AA..I.H..FFFH.C.BB..C... E99 F99
1 2 1 EE.GGGDD..I.AA..I.H.FFF.H.CBB...C... E99 B99
1 2 1 .EEGGG.DD.I..AA.I.H.FFF.H.C.BB..C... D99 A99
1 2 1 .EEGGG.DD.I...AAI.H.FFF.H.C.BB..C... D99 A98
1 2 1 .EEGGG.DD.I.AA..I...FFF.H.C.BBH.C... D99 H99
1 2 1 .EEGGG.DD.I.AA..I.HFFF..H.C.BB..C... D99 F99
1 2 1 .EEGGG.DD.I.AA..I.H..FFFH.C.BB..C... D99 F99
1 2 1 .EEGGG.DD.I.AA..I.H.FFF.H.CBB...C... D99 B99
1 2 1 .EEGGG..DDI..AA.I.H.FFF.H.C.BB..C... D98 A99
1 2 1 .EEGGG..DDI...AAI.H.FFF.H.C.BB..C... D98 A98
1 2 1 .EEGGG..DDI.AA..I...FFF.H.C.BBH.C... D98 H99
1 2 1 .EEGGG..DDI.AA..I.HFFF..H.C.BB..C... D98 F99
1 2 1 .EEGGG..DDI.AA..I.H..FFFH.C.BB..C... D98 F99
1 2 1 .EEGGG..DDI.AA..I.H.FFF.H.CBB...C... D98 B99
1 2 1 .EEGGGDD..I.HAA.I.H.FFF...C.BB..C... A99 H99
1 2 1 .EEGGGDD..I..AA.I...FFF.H.C.BBH.C... A99 H99
1 2 1 .EEGGGDD..I..AA.I.HFFF..H.C.BB..C... A99 F99
1 2 1 .EEGGGDD..I..AA.I.H..FFFH.C.BB..C... A99 F99
1 2 1 .EEGGGDD..I..AA.I.H.FFF.H.CBB...C... A99 B99
1 2 1 .EEGGGDD..I.H.AAI.H.FFF...C.BB..C... A98 H99
1 2 1 .EEGGGDD..I...AAI...FFF.H.C.BBH.C... A98 H99
1 2 1 .EEGGGDD..I...AAI.HFFF..H.C.BB..C... A98 F99
1 2 1 .EEGGGDD..I...AAI.H..FFFH.C.BB..C... A98 F99
1 2 1 .EEGGGDD..I...AAI.H.FFF.H.CBB...C... A98 B99
1 2 1 .EEGGGDD..I.AA..I..FFF..H.C.BBH.C... H99 F99
1 2 1 .EEGGGDD..I.AA..I.FFF...H.C.BBH.C... H99 F98
1 2 1 .EEGGGDD..I.AA..I....FFFH.C.BBH.C... H99 F99
1 2 1 .EEGGGDD..I.AA..I...FFF.H.CBB.H.C... H99 B99
1 2 1 .EEGGGDD....AA..I.HFFFI.H.C.BB..C... I99 F99
1 2 1 .EEGGGDD..I.AA..I.HFFF..H.CBB...C... F99 B99
1 2 1 .EEGGGDD..I.AA..I.H.CFFFH.C.BB...... F99 C99
1 2 1 .EEGGGDD..I.AA..I.H..FFFH.CBB...C... F99 B99
1 3 1 EEGGG..DD.I.AA..I.H.FFF.H.C.BB..C... E99 G99 D99
1 3 1 EEGGG...DDI.AA..I.H.FFF.H.C.BB..C... E99 G99 D98
1 3 1 EEGGG.DD..I..AA.I.H.FFF.H.C.BB..C... E99 G99 A99
1 3 1 EEGGG.DD..I...AAI.H.FFF.H.C.BB..C... E99 G99 A98
1 3 1 EEGGG.DD..I.AA..I...FFF.H.C.BBH.C... E99 G99 H99
1 3 1 EEGGG.DD..I.AA..I.HFFF..H.C.BB..C... E99 G99 F99
1 3 1 EEGGG.DD..I.AA..I.H..FFFH.C.BB..C... E99 G99 F99
1 3 1 EEGGG.DD..I.AA..I.H.FFF.H.CBB...C... E99 G99 B99
1 3 1 EE.GGG.DD.I..AA.I.H.FFF.H.C.BB..C... E99 D99 A99
1 3 1 EE.GGG.DD.I...AAI.H.FFF.H.C.BB..C... E99 D99 A98
1 3 1 EE.GGG.DD.I.AA..I...FFF.H.C.BBH.C... E99 D99 H99
1 3 1 EE.GGG.DD.I.AA..I.HFFF..H.C.BB..C... E99 D99 F99
1 3 1 EE.GGG.DD.I.AA..I.H..FFFH.C.BB..C... E99 D99 F99
1 3 1 EE.GGG.DD.I.AA..I.H.FFF.H.CBB...C... E99 D99 B99
1 3 1 EE.GGG..DDI..AA.I.H.FFF.H.C.BB..C... E99 D98 A99
1 3 1 EE.GGG..DDI...AAI.H.FFF.H.C.BB..C... E99 D98 A98
1 3 1 EE.GGG..DDI.AA..I...FFF.H.C.BBH.C... E99 D98 H99
1 3 1 EE.GGG..DDI.AA..I.HFFF..H.C.BB..C... E99 D98 F99
1 3 1 EE.GGG..DDI.AA..I.H..FFFH.C.BB..C... E99 D98 F99
1 3 1 EE.GGG..DDI.AA..I.H.FFF.H.CBB...C... E99 D98 B99
1 3 1 EE.GGGDD..I.HAA.I.H.FFF...C.BB..C... E99 A99 H99
1 3 1 EE.GGGDD..I..AA.I...FFF.H.C.BBH.C... E99 A99 H99
1 3 1 EE.GGGDD..I..AA.I.HFFF..H.C.BB..C... E99 A99 F99
1 3 1 EE.GGGDD..I..AA.I.H..FFFH.C.BB..C... E99 A99 F99
1 3 1 EE.GGGDD..I..AA.I.H.FFF.H.CBB...C... E99 A99 B99
1 3 1 EE.GGGDD..I.H.AAI.H.FFF...C.BB..C... E99 A98 H99
1 3 1 EE.GGGDD..I...AAI...FFF.H.C.BBH.C... E99 A98 H99
1 3 1 EE.GGGDD..I...AAI.HFFF..H.C.BB..C... E99 A98 F99
1 3 1 EE.GGGDD..I...AAI.H..FFFH.C.BB..C... E99 A98 F99
1 3 1 EE.GGGDD..I...AAI.H.FFF.H.CBB...C... E99 A98 B99
1 3 1 EE.GGGDD..I.AA..I..FFF..H.C.BBH.C... E99 H99 F99
1 3 1 EE.GGGDD..I.AA..I.FFF...H.C.BBH.C... E99 H99 F98
1 3 1 EE.GGGDD..I.AA..I....FFFH.C.BBH.C... E99 H99 F99
1 3 1 EE.GGGDD..I.AA..I...FFF.H.CBB.H.C... E99 H99 B99
1 3 1 EE.GGGDD....AA..I.HFFFI.H.C.BB..C... E99 I99 F99
1 3 1 EE.GGGDD..I.AA..I.HFFF..H.CBB...C... E99 F99 B99
1 3 1 EE.GGGDD..I.AA..I.H.CFFFH.C.BB...... E99 F99 C99
1 3 1 EECGGGDDC.I.AA..I.H..FFFH...BB...... E99 F99 C96
1 3 1 EE.GGGDD..I.AA..I.H..FFFH.CBB...C... E99 F99 B99
1 3 1 .EEGGG.DD.I.HAA.I.H.FFF...C.BB..C... D99 A99 H99
1 3 1 .EEGGGHDD.I.HAA.I...FFF...C.BB..C... D99 A99 H98
1 3 1 HEEGGGHDD.I..AA.I...FFF...C.BB..C... D99 A99 H97
1 3 1 .EEGGG.DD.I..AA.I...FFF.H.C.BBH.C... D99 A99 H99
1 3 1 .EEGGG.DD.I..AA.I.HFFF..H.C.BB..C... D99 A99 F99
1 3 1 .EEGGG.DD.I..AA.I.H..FFFH.C.BB..C... D99 A99 F99
