1 0 1 .B.....B..C...AAC.DFFFC.DGHIEE.GHI..
2 1 1 .......B..C..BAAC.DFFFC.DGHIEE.GHI.. B99
2 1 1 .B..C..B..C...AAC.DFFF..DGHIEE.GHI.. C99
2 1 1 .B.....B..C..AA.C.DFFFC.DGHIEE.GHI.. A99
2 1 1 .B.....B..C.AA..C.DFFFC.DGHIEE.GHI.. A98
2 1 1 .B.....B..C.D.AAC.DFFFC..GHIEE.GHI.. D99
2 1 1 .B....DB..C.D.AAC..FFFC..GHIEE.GHI.. D98
2 1 1 DB....DB..C...AAC..FFFC..GHIEE.GHI.. D97
2 1 1 .B.....B..C...AAC..FFFC.DGHIEEDGHI.. D99
3 2 1 ....C..B..C..BAAC.DFFF..DGHIEE.GHI.. B99 C99
3 2 1 .......B..C.DBAAC.DFFFC..GHIEE.GHI.. B99 D99
3 2 1 ......DB..C.DBAAC..FFFC..GHIEE.GHI.. B99 D98
3 2 1 D.....DB..C..BAAC..FFFC..GHIEE.GHI.. B99 D97
3 2 1 .......B..C..BAAC..FFFC.DGHIEEDGHI.. B99 D99
3 2 1 .B..C..B..C..AA.C.DFFF..DGHIEE.GHI.. C99 A99
3 2 1 .B..C..B..C.AA..C.DFFF..DGHIEE.GHI.. C99 A98
3 2 1 .B..C..B..C.D.AAC.DFFF...GHIEE.GHI.. C99 D99
3 2 1 .B..C.DB..C.D.AAC..FFF...GHIEE.GHI.. C99 D98
3 2 1 DB..C.DB..C...AAC..FFF...GHIEE.GHI.. C99 D97
3 2 1 .B..C..B..C...AAC..FFF..DGHIEEDGHI.. C99 D99
3 2 1 .B..C..B..C...AAC.D.FFF.DGHIEE.GHI.. C99 F99
3 2 1 .B..C..B..C...AAC.D..FFFDGHIEE.GHI.. C99 F98
3 2 1 .B.....B..C.DAA.C.DFFFC..GHIEE.GHI.. A99 D99
3 2 1 .B....DB..C.DAA.C..FFFC..GHIEE.GHI.. A99 D98
3 2 1 DB....DB..C..AA.C..FFFC..GHIEE.GHI.. A99 D97
3 2 1 .B.....B..C..AA.C..FFFC.DGHIEEDGHI.. A99 D99
3 2 1 .B.....B..C.AA..C..FFFC.DGHIEEDGHI.. A98 D99
3 2 1 .B....DB..C.D.AAC.FFF.C..GHIEE.GHI.. D98 F99
3 2 1 DB....DB..C.AA..C..FFFC..GHIEE.GHI.. A98 D97
3 2 1 DB....DB..C...AAC.FFF.C..GHIEE.GHI.. D97 F99
3 2 1 .B.....B..C...AAC.FFF.C.DGHIEEDGHI.. D99 F99
4 3 1 ....C..B..C.DBAAC.DFFF...GHIEE.GHI.. B99 C99 D99
4 3 1 ....C.DB..C.DBAAC..FFF...GHIEE.GHI.. B99 C99 D98
4 3 1 D...C.DB..C..BAAC..FFF...GHIEE.GHI.. B99 C99 D97
4 3 1 ....C..B..C..BAAC..FFF..DGHIEEDGHI.. B99 C99 D99
4 3 1 ....C..B..C..BAAC.D.FFF.DGHIEE.GHI.. B99 C99 F99
4 3 1 ....C..B..C..BAAC.D..FFFDGHIEE.GHI.. B99 C99 F98
4 3 1 ......DB..C.DBAAC.FFF.C..GHIEE.GHI.. B99 D98 F99
4 3 1 D.....DB..C..BAAC.FFF.C..GHIEE.GHI.. B99 D97 F99
4 3 1 .......B..C..BAAC.FFF.C.DGHIEEDGHI.. B99 D99 F99
4 3 1 .B..C..B..C.DAA.C.DFFF...GHIEE.GHI.. C99 A99 D99
4 3 1 .B..C.DB..C.DAA.C..FFF...GHIEE.GHI.. C99 A99 D98
4 3 1 DB..C.DB..C..AA.C..FFF...GHIEE.GHI.. C99 A99 D97
4 3 1 .B..C..B..C..AA.C..FFF..DGHIEEDGHI.. C99 A99 D99
4 3 1 .B..C..B..C..AA.C.D.FFF.DGHIEE.GHI.. C99 A99 F99
4 3 1 .B..C..B..C..AA.C.D..FFFDGHIEE.GHI.. C99 A99 F98
4 3 1 .B..C..B..C.AA..C..FFF..DGHIEEDGHI.. C99 A98 D99
4 3 1 .B..C..B..C.AA..C.D.FFF.DGHIEE.GHI.. C99 A98 F99
4 3 1 .B..C..B..C.AA..C.D..FFFDGHIEE.GHI.. C99 A98 F98
4 3 1 .B..C..B..C.D.AAC.D.FFF..GHIEE.GHI.. C99 D99 F99
4 3 1 .B..C..B..C.D.AAC.D..FFF.GHIEE.GHI.. C99 D99 F98
4 3 1 .B..C.DB..C.D.AAC.FFF....GHIEE.GHI.. C99 D98 F99
4 3 1 .B..C.DB..C.D.AAC...FFF..GHIEE.GHI.. C99 D98 F99
4 3 1 .B..C.DB..C.D.AAC....FFF.GHIEE.GHI.. C99 D98 F98
4 3 1 DB..C.DB..C.AA..C..FFF...GHIEE.GHI.. C99 A98 D97
4 3 1 DB..C.DB..C...AAC.FFF....GHIEE.GHI.. C99 D97 F99
4 3 1 DB..C.DB..C...AAC...FFF..GHIEE.GHI.. C99 D97 F99
4 3 1 DB..C.DB..C...AAC....FFF.GHIEE.GHI.. C99 D97 F98
4 3 1 .B..C..B..C...AAC.FFF...DGHIEEDGHI.. C99 D99 F99
4 3 1 .B..C..B..C...AAC...FFF.DGHIEEDGHI.. C99 D99 F99
4 3 1 .B..C..B..C...AAC....FFFDGHIEEDGHI.. C99 D99 F98
4 3 1 ....C.....C..BAAC.DBFFF.DGHIEE.GHI.. B98 C99 F99
4 3 1 .B..C..B..C...AAC.DGFFF.DGHIEE..HI.. C99 F99 G99
4 3 1 .B..C..B..C..GAAC.DGFFF.D.HIEE..HI.. C99 F99 G98
4 3 1 ....C.....C..BAAC.DB.FFFDGHIEE.GHI.. B98 C99 F98
4 3 1 .B..C..B..C...AAC.DG.FFFDGHIEE..HI.. C99 F98 G99
4 3 1 .B..C..B..C..GAAC.DG.FFFD.HIEE..HI.. C99 F98 G98
4 3 1 .B..C..B..C...AAC.D.HFFFDGHIEE.G.I.. C99 F98 H99
4 3 1 .B....DB..C.DAA.C.FFF.C..GHIEE.GHI.. A99 D98 F99
4 3 1 DB....DB..C..AA.C.FFF.C..GHIEE.GHI.. A99 D97 F99
4 3 1 .B.....B..C..AA.C.FFF.C.DGHIEEDGHI.. A99 D99 F99
4 3 1 .B.....B..C.AA..C.FFF.C.DGHIEEDGHI.. A98 D99 F99
4 3 1 .B....DB..C.D.AAC.FFFIC..GHIEE.GH... D98 F99 I99
4 3 1 DB....DB..C.AA..C.FFF.C..GHIEE.GHI.. A98 D97 F99
4 3 1 DB....DB..C...AAC.FFFIC..GHIEE.GH... D97 F99 I99
4 3 1 .B.....B..C...AAC.FFFIC.DGHIEEDGH... D99 F99 I99
5 4 1 ....C..B..C.DBAAC.D.FFF..GHIEE.GHI.. B99 C99 D99 F99
5 4 1 ....C..B..C.DBAAC.D..FFF.GHIEE.GHI.. B99 C99 D99 F98
5 4 1 ....C.DB..C.DBAAC.FFF....GHIEE.GHI.. B99 C99 D98 F99
5 4 1 ....C.DB..C.DBAAC...FFF..GHIEE.GHI.. B99 C99 D98 F99
5 4 1 ....C.DB..C.DBAAC....FFF.GHIEE.GHI.. B99 C99 D98 F98
5 4 1 D...C.DB..C..BAAC.FFF....GHIEE.GHI.. B99 C99 D97 F99
5 4 1 D...C.DB..C..BAAC...FFF..GHIEE.GHI.. B99 C99 D97 F99
5 4 1 D...C.DB..C..BAAC....FFF.GHIEE.GHI.. B99 C99 D97 F98
5 4 1 ....C..B..C..BAAC.FFF...DGHIEEDGHI.. B99 C99 D99 F99
5 4 1 ....C..B..C..BAAC...FFF.DGHIEEDGHI.. B99 C99 D99 F99
5 4 1 ....C..B..C..BAAC....FFFDGHIEEDGHI.. B99 C99 D99 F98
5 4 1 ....C..B..C..BAAC.DGFFF.DGHIEE..HI.. B99 C99 F99 G99
5 4 1 ....C..B..C..BAAC.DG.FFFDGHIEE..HI.. B99 C99 F98 G99
5 4 1 ....C..B..C..BAAC.D.HFFFDGHIEE.G.I.. B99 C99 F98 H99
5 4 1 ......DB..C.DBAAC.FFFIC..GHIEE.GH... B99 D98 F99 I99
5 4 1 D.....DB..C..BAAC.FFFIC..GHIEE.GH... B99 D97 F99 I99
5 4 1 .......B..C..BAAC.FFFIC.DGHIEEDGH... B99 D99 F99 I99
5 4 1 .B..C..B..C.DAA.C.D.FFF..GHIEE.GHI.. C99 A99 D99 F99
5 4 1 .B..C..B..C.DAA.C.D..FFF.GHIEE.GHI.. C99 A99 D99 F98
5 4 1 .B..C.DB..C.DAA.C.FFF....GHIEE.GHI.. C99 A99 D98 F99
5 4 1 .B..C.DB..C.DAA.C...FFF..GHIEE.GHI.. C99 A99 D98 F99
5 4 1 .B..C.DB..C.DAA.C....FFF.GHIEE.GHI.. C99 A99 D98 F98
5 4 1 DB..C.DB..C..AA.C.FFF....GHIEE.GHI.. C99 A99 D97 F99
5 4 1 DB..C.DB..C..AA.C...FFF..GHIEE.GHI.. C99 A99 D97 F99
5 4 1 DB..C.DB..C..AA.C....FFF.GHIEE.GHI.. C99 A99 D97 F98
5 4 1 .B..C..B..C..AA.C.FFF...DGHIEEDGHI.. C99 A99 D99 F99
5 4 1 .B..C..B..C..AA.C...FFF.DGHIEEDGHI.. C99 A99 D99 F99
5 4 1 .B..C..B..C..AA.C....FFFDGHIEEDGHI.. C99 A99 D99 F98
5 4 1 .B..C..B..C..AA.C.DGFFF.DGHIEE..HI.. C99 A99 F99 G99
5 4 1 .B..C..B..C..AA.C.DG.FFFDGHIEE..HI.. C99 A99 F98 G99
5 4 1 .B..C..B..C..AA.C.D.HFFFDGHIEE.G.I.. C99 A99 F98 H99
5 4 1 .B..C..B..C.AA..C.FFF...DGHIEEDGHI.. C99 A98 D99 F99
5 4 1 .B..C..B..C.AA..C...FFF.DGHIEEDGHI.. C99 A98 D99 F99
5 4 1 .B..C..B..C.AA..C....FFFDGHIEEDGHI.. C99 A98 D99 F98
5 4 1 .B..C..B..C.AA..C.DGFFF.DGHIEE..HI.. C99 A98 F99 G99
5 4 1 .B..C..B..C.AA..C.DG.FFFDGHIEE..HI.. C99 A98 F98 G99
5 4 1 .B..C..B..C.AA..C.D.HFFFDGHIEE.G.I.. C99 A98 F98 H99
5 4 1 .BH.C..BH.C.AA..C.D..FFFDG.IEE.G.I.. C99 A98 F98 H96
5 4 1 ....C.....C.DBAAC.DBFFF..GHIEE.GHI.. B98 C99 D99 F99
5 4 1 .B..C..B..C.D.AAC.DGFFF..GHIEE..HI.. C99 D99 F99 G99
5 4 1 .B..C..B..C.DGAAC.DGFFF...HIEE..HI.. C99 D99 F99 G98
5 4 1 ....C.....C.DBAAC.DB.FFF.GHIEE.GHI.. B98 C99 D99 F98
5 4 1 .B..C..B..C.D.AAC.DG.FFF.GHIEE..HI.. C99 D99 F98 G99
5 4 1 .B..C..B..C.DGAAC.DG.FFF..HIEE..HI.. C99 D99 F98 G98
5 4 1 .B..C..B..C.D.AAC.D.HFFF.GHIEE.G.I.. C99 D99 F98 H99
5 4 1 .B..C.DB..C.D.AAC.FFFI...GHIEE.GH... C99 D98 F99 I99
5 4 1 ....C.D...C.DBAAC..BFFF..GHIEE.GHI.. B98 C99 D98 F99
5 4 1 .B..C.DB..C.D.AAC..GFFF..GHIEE..HI.. C99 D98 F99 G99
5 4 1 .B..C.DB..C.DGAAC..GFFF...HIEE..HI.. C99 D98 F99 G98
5 4 1 ....C.D...C.DBAAC..B.FFF.GHIEE.GHI.. B98 C99 D98 F98
5 4 1 .B..C.DB..C.D.AAC..G.FFF.GHIEE..HI.. C99 D98 F98 G99
5 4 1 .B..C.DB..C.DGAAC..G.FFF..HIEE..HI.. C99 D98 F98 G98
5 4 1 .B..C.DB..C.D.AAC...HFFF.GHIEE.G.I.. C99 D98 F98 H99
5 4 1 DB..C.DB..C.AA..C.FFF....GHIEE.GHI.. C99 A98 D97 F99
5 4 1 DB..C.DB..C.AA..C...FFF..GHIEE.GHI.. C99 A98 D97 F99
5 4 1 DB..C.DB..C.AA..C....FFF.GHIEE.GHI.. C99 A98 D97 F98
5 4 1 DB..C.DB..C...AAC.FFFI...GHIEE.GH... C99 D97 F99 I99
5 4 1 D...C.D...C..BAAC..BFFF..GHIEE.GHI.. B98 C99 D97 F99
5 4 1 DB..C.DB..C...AAC..GFFF..GHIEE..HI.. C99 D97 F99 G99
5 4 1 DB..C.DB..C..GAAC..GFFF...HIEE..HI.. C99 D97 F99 G98
5 4 1 D...C.D...C..BAAC..B.FFF.GHIEE.GHI.. B98 C99 D97 F98
5 4 1 DB..C.DB..C...AAC..G.FFF.GHIEE..HI.. C99 D97 F98 G99
5 4 1 DB..C.DB..C..GAAC..G.FFF..HIEE..HI.. C99 D97 F98 G98
5 4 1 DB..C.DB..C...AAC...HFFF.GHIEE.G.I.. C99 D97 F98 H99
5 4 1 .B..C..B..C...AAC.FFFI..DGHIEEDGH... C99 D99 F99 I99
5 4 1 ....C.....C..BAAC..BFFF.DGHIEEDGHI.. B98 C99 D99 F99
5 4 1 .B..C..B..C...AAC..GFFF.DGHIEED.HI.. C99 D99 F99 G99
5 4 1 .B..C..B..C..GAAC..GFFF.D.HIEED.HI.. C99 D99 F99 G98
